               epoch,      train/box_loss,      train/cls_loss,      train/dfl_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/cls_loss,        val/dfl_loss,               x/lr0,               x/lr1,               x/lr2
                   0,              4.7561,              6.7236,               5.367,           0.0014116,            0.047966,            0.001448,          0.00029176,              4.0585,                41.9,              5.9801,            0.070099,           0.0033223,           0.0033223
                   1,              4.7137,              6.6905,              5.3305,            0.040174,            0.018332,          0.00064378,          0.00020278,              4.0418,                 inf,              7.1941,            0.040077,           0.0066337,           0.0066337
                   2,              4.7121,              6.6386,              5.2728,           0.0016824,            0.064019,           0.0013591,          0.00040234,              3.9982,                 inf,              10.263,            0.010033,           0.0099231,           0.0099231
                   3,              4.6977,              6.3383,              5.1042,           0.0026208,            0.033115,           0.0035956,          0.00086272,               3.895,                 inf,              6.1213,            0.009901,            0.009901,            0.009901
                   4,              4.2204,              5.6792,              4.6336,            0.003214,             0.23278,           0.0046066,           0.0013186,              4.4128,                 inf,              6.1808,            0.009901,            0.009901,            0.009901
                   5,              3.4824,              5.1749,              4.0472,           0.0006677,            0.074045,          0.00042781,          0.00014982,              4.0665,                 inf,              12.845,            0.009868,            0.009868,            0.009868
                   6,              3.0306,              4.7137,              3.5878,           0.0090812,             0.19428,            0.018653,           0.0072922,              3.7446,                 inf,              6.0959,            0.009835,            0.009835,            0.009835
                   7,              2.8299,              4.4232,              3.2926,             0.33455,            0.084068,            0.051232,             0.02146,              2.8431,              13.125,              3.8238,            0.009802,            0.009802,            0.009802
                   8,              2.6468,              4.2193,                3.05,             0.31508,             0.12428,            0.065339,             0.02565,              2.7954,               5.965,              3.6567,            0.009769,            0.009769,            0.009769
                   9,              2.4875,              4.0304,               2.873,             0.21885,              0.1333,            0.067947,            0.032823,              2.8283,              19.644,              3.6223,            0.009736,            0.009736,            0.009736
                  10,              2.3317,              3.8833,              2.6903,             0.26829,             0.24936,              0.1666,            0.084073,              2.1524,              5.0326,              2.9686,            0.009703,            0.009703,            0.009703
                  11,              2.2344,              3.7595,              2.5947,             0.37166,             0.21349,              0.1908,             0.10604,              1.9749,              3.5647,              2.7986,             0.00967,             0.00967,             0.00967
                  12,              2.1489,              3.6589,              2.4879,             0.34507,             0.29818,             0.22748,             0.12399,              1.8211,               3.431,              2.6152,            0.009637,            0.009637,            0.009637
                  13,              2.0487,              3.5416,              2.3968,             0.22757,              0.2924,              0.2144,             0.11682,              1.8371,              3.3069,               2.658,            0.009604,            0.009604,            0.009604
                  14,              1.9504,               3.411,              2.3021,             0.35967,             0.41298,             0.30689,             0.18616,              1.6966,              3.3668,              2.4461,            0.009571,            0.009571,            0.009571
                  15,              1.9079,              3.3094,               2.212,             0.30688,             0.31767,             0.27051,             0.16842,              1.6311,              3.6423,              2.4041,            0.009538,            0.009538,            0.009538
                  16,              1.8426,              3.2175,              2.1352,             0.42794,             0.24992,             0.28629,             0.19005,              1.6304,              3.3041,              2.3588,            0.009505,            0.009505,            0.009505
                  17,              1.7756,              3.1597,              2.0813,             0.37574,             0.38864,             0.33185,             0.22313,              1.4791,              3.5212,              2.1835,            0.009472,            0.009472,            0.009472
                  18,              1.7526,              3.0607,              2.0499,             0.38817,             0.43298,             0.40328,             0.27031,              1.4523,              2.8979,              2.1392,            0.009439,            0.009439,            0.009439
                  19,              1.7099,              3.0335,              2.0273,             0.43682,             0.43048,             0.44129,             0.30606,              1.3723,              2.6916,              2.0733,            0.009406,            0.009406,            0.009406
                  20,              1.7078,              2.9169,              1.9921,             0.44324,             0.46844,             0.42868,             0.29712,              1.3844,              3.4112,              2.0937,            0.009373,            0.009373,            0.009373
                  21,              1.6446,              2.8911,              1.9652,             0.44782,             0.42935,             0.42534,             0.29538,              1.4125,              2.9409,              2.1391,             0.00934,             0.00934,             0.00934
                  22,              1.5889,               2.766,              1.8802,             0.48513,             0.51212,             0.52874,              0.3719,              1.2979,              2.6019,              1.9738,            0.009307,            0.009307,            0.009307
                  23,              1.5691,              2.7626,              1.8935,             0.48903,             0.53906,             0.52372,             0.37158,              1.2373,              2.5593,              1.9247,            0.009274,            0.009274,            0.009274
                  24,              1.5472,              2.7001,              1.8797,             0.57084,             0.50934,             0.53732,             0.38481,               1.224,              2.4417,              1.9098,            0.009241,            0.009241,            0.009241
                  25,              1.5386,               2.642,              1.8435,             0.53095,             0.57837,             0.57264,             0.41916,              1.1537,               2.469,              1.8441,            0.009208,            0.009208,            0.009208
                  26,              1.4949,              2.6316,              1.8396,             0.47354,             0.63754,              0.6052,             0.44631,              1.1185,              2.2127,              1.8081,            0.009175,            0.009175,            0.009175
                  27,              1.4719,              2.5527,              1.8048,             0.58181,             0.58998,             0.62804,              0.4531,              1.1615,              2.2625,              1.8452,            0.009142,            0.009142,            0.009142
                  28,              1.4368,              2.5434,              1.7996,             0.55512,             0.60549,             0.62293,             0.45505,              1.1083,              2.0791,              1.7957,            0.009109,            0.009109,            0.009109
                  29,              1.4377,              2.4793,              1.7745,             0.58013,             0.61272,             0.60076,             0.43955,              1.0531,              2.3139,              1.7315,            0.009076,            0.009076,            0.009076
                  30,              1.4284,              2.4301,              1.7362,             0.56624,             0.60967,             0.59115,             0.44134,              1.0884,              2.8533,              1.7771,            0.009043,            0.009043,            0.009043
                  31,              1.3662,              2.4111,              1.7301,             0.62987,             0.54036,             0.61236,             0.46429,              1.0779,              2.3268,              1.7642,             0.00901,             0.00901,             0.00901
                  32,              1.3619,              2.3751,              1.6943,             0.65188,             0.59847,             0.62914,             0.48786,              1.0215,              2.1441,              1.7001,            0.008977,            0.008977,            0.008977
                  33,              1.3446,              2.2892,              1.6874,             0.63629,             0.58979,             0.63781,             0.48107,              1.0239,              2.0598,              1.7087,            0.008944,            0.008944,            0.008944
                  34,              1.3201,              2.2507,              1.6791,             0.59972,             0.58674,             0.59283,             0.45928,              1.0606,              2.2585,               1.723,            0.008911,            0.008911,            0.008911
                  35,              1.2865,              2.1959,              1.6584,             0.65841,             0.58825,             0.64968,             0.51479,             0.93888,              1.8143,              1.6181,            0.008878,            0.008878,            0.008878
                  36,              1.2913,              2.1459,              1.6398,             0.66571,             0.62338,             0.68328,              0.5314,             0.98072,              1.9164,              1.6351,            0.008845,            0.008845,            0.008845
                  37,               1.288,              2.1634,              1.6547,             0.75071,             0.61355,             0.70452,             0.55791,             0.91425,              1.8517,              1.6027,            0.008812,            0.008812,            0.008812
                  38,              1.2672,              2.1037,              1.6111,             0.64271,             0.68656,             0.69206,             0.55151,             0.90659,              1.8064,              1.5816,            0.008779,            0.008779,            0.008779
                  39,              1.2365,               2.066,              1.6144,             0.61166,             0.57321,             0.61242,             0.47318,              1.0075,              2.3792,              1.6577,            0.008746,            0.008746,            0.008746
                  40,              1.2343,               2.037,              1.5933,             0.74661,             0.65304,             0.73916,             0.58648,             0.87391,              1.6019,              1.5342,            0.008713,            0.008713,            0.008713
                  41,               1.238,              2.0421,              1.6028,             0.70699,             0.68331,             0.74128,             0.60326,             0.83551,              1.5073,              1.5006,             0.00868,             0.00868,             0.00868
                  42,              1.2342,               1.998,              1.5932,             0.74487,             0.65801,             0.73395,             0.60836,             0.83116,              1.5583,              1.5032,            0.008647,            0.008647,            0.008647
                  43,              1.1966,              1.9035,              1.5699,             0.70719,             0.64685,             0.73281,             0.59133,             0.87064,              1.5982,              1.5465,            0.008614,            0.008614,            0.008614
                  44,              1.2073,              1.9632,              1.5988,             0.75066,             0.66028,             0.76208,             0.61448,             0.86901,              1.7789,              1.5254,            0.008581,            0.008581,            0.008581
                  45,              1.1985,              1.9265,               1.575,              0.7177,             0.73311,             0.76627,             0.61978,             0.83682,              1.5203,              1.5196,            0.008548,            0.008548,            0.008548
                  46,              1.1765,              1.8979,              1.5673,             0.68401,             0.63354,             0.70679,             0.56434,             0.88018,              1.7203,              1.5366,            0.008515,            0.008515,            0.008515
                  47,              1.1315,              1.8609,              1.5516,             0.72853,             0.73102,             0.79033,             0.64536,             0.81591,              1.3982,              1.4916,            0.008482,            0.008482,            0.008482
                  48,              1.1848,              1.8788,              1.5652,             0.76766,             0.72459,             0.78939,             0.65223,             0.80436,              1.3968,              1.4662,            0.008449,            0.008449,            0.008449
                  49,              1.1416,              1.8331,              1.5183,             0.78042,             0.67284,             0.79957,             0.66644,             0.74849,              1.3034,                1.41,            0.008416,            0.008416,            0.008416
                  50,              1.1425,              1.8486,              1.5195,             0.78206,             0.69648,             0.78132,             0.65469,             0.78646,              1.4056,              1.4476,            0.008383,            0.008383,            0.008383
                  51,               1.125,              1.8326,              1.5258,             0.79267,             0.71515,             0.80685,             0.67125,             0.78825,              1.3234,               1.442,             0.00835,             0.00835,             0.00835
                  52,              1.0838,              1.7483,               1.493,             0.77054,             0.71935,             0.79782,             0.66488,             0.76915,              1.2984,              1.4367,            0.008317,            0.008317,            0.008317
                  53,              1.0863,              1.7657,              1.4986,             0.68329,             0.77539,             0.79459,             0.65093,             0.76021,              1.3165,              1.4403,            0.008284,            0.008284,            0.008284
                  54,              1.0913,              1.7286,              1.4978,             0.76654,             0.71088,             0.80764,             0.67035,             0.72091,              1.3162,              1.3784,            0.008251,            0.008251,            0.008251
                  55,              1.0934,              1.6738,              1.4791,             0.73311,             0.74734,             0.81955,             0.69585,              0.7165,               1.179,              1.3843,            0.008218,            0.008218,            0.008218
                  56,              1.0549,              1.6555,              1.4763,             0.85215,             0.68905,             0.82482,             0.68491,             0.73456,              1.2645,              1.3819,            0.008185,            0.008185,            0.008185
                  57,              1.0696,              1.6847,              1.4985,             0.79654,             0.71495,             0.83479,             0.70051,             0.74128,              1.1756,              1.3943,            0.008152,            0.008152,            0.008152
                  58,              1.0611,              1.6312,              1.4777,             0.83309,             0.73071,             0.83303,             0.69719,             0.72795,               1.281,              1.3839,            0.008119,            0.008119,            0.008119
                  59,              1.0681,              1.6446,              1.4755,             0.80274,             0.75708,             0.84077,              0.7133,             0.68573,              1.1649,              1.3553,            0.008086,            0.008086,            0.008086
                  60,              1.0474,              1.5964,              1.4432,             0.79822,             0.75613,             0.83843,              0.7103,             0.70581,              1.1547,              1.3769,            0.008053,            0.008053,            0.008053
                  61,              1.0206,               1.619,              1.4542,             0.84493,             0.74865,             0.84695,              0.7082,             0.68898,              1.0797,              1.3465,             0.00802,             0.00802,             0.00802
                  62,              1.0475,              1.6208,              1.4502,             0.77482,             0.80044,             0.84084,             0.70584,             0.69992,               1.113,              1.3543,            0.007987,            0.007987,            0.007987
